symptoms,disease,solution
Twitching Muscles,Stress/Electrolyte Imbalance,"Hydration, relaxation, magnesium intake"
Hand Tremors,Parkinson?/Essential Tremors,"Physiotherapy, medications"
Seizures,Epilepsy/Brain Disorder,"Anti-epileptic drugs, avoiding triggers"
Pale Skin,Anemia/Iron Deficiency,"Iron supplements, leafy greens"
Yellowing of Skin (Jaundice),Liver Disease/Hepatitis,"Liver-friendly diet, avoiding alcohol"
Dark Urine,Liver Problems/Dehydration," Hydration, medical check-up"
Abdominal Bloating,IBS/Gas Issues,"Probiotics, dietary changes"
Blood in Stool,Hemorrhoids/Colon Cancer,"Fiber-rich diet, medical check-up"
Difficulty Breathing,Pneumonia/Asthma,"Antibiotics (if bacterial), inhalers"
Persistent Coughing (3+ weeks),Tuberculosis/Lung Disease,"Medical check-up, anti-TB medication"
Chapped Lips,Dehydration/Vitamin Deficiency,"Hydration, lip balm"
Cracked Heels,Dry Skin/Nutrient Deficiency,"Moisturizers, foot soaks"
Dark Circles Under Eyes,Lack of Sleep/Iron Deficiency,"Proper sleep, iron intake"
Swollen Feet,Kidney Disease/Heart Disease,"Medical check-up, reduced salt intake"
Burning Sensation in Feet,Diabetes/Neuropathy,"Blood sugar control, foot care"
Chest Tightness,Asthma/Heart Issues,"Inhalers, emergency care"
Uncontrollable Shaking,Parkinson?/Essential Tremors,"Medication, physiotherapy"
Red Eyes,Conjunctivitis/Allergy,"Eye drops, avoiding irritants"
Cloudy Urine,UTI/Dehydration,"Hydration, antibiotics (if UTI)"
Painful Urination,UTI/Kidney Stones,"Hydration, antibiotics (if UTI)"
